,selling_price,year,manufacturer,name,cylinders,km_driven,transmission,owner_id,size,type,paint_color,ex_showroom_price
0,17899,2012,volkswagen,golf r,4 cylinders,63500,manual,WVWPF7AJ6CW316713,compact,hatchback,black,23811
1,0,2016,ford,f-150,,10,automatic,1FTMF1EP3GKF13544,,,,0
2,46463,2015,gmc,sierra 1500,,7554,automatic,3GTU2WEC6FG228025,,,white,51836
3,0,2016,ford,f-150,,10,automatic,1FTEX1EF6GKD25447,,,,0
4,49999,2018,ford,f-450,,70150,automatic,1FT8W4DT8GEA90427,,pickup,white,57988
5,13999,2009,ram,,,120057,automatic,1D3HV18P89S777871,,pickup,silver,18053
6,34500,2017,ford,f-350,,95484,automatic,1FT8W3BT2HEE98744,,pickup,white,38736
7,14500,2007,gmc,sierra,,89340,automatic,1GTGK13UX7F108498,,pickup,,18786
8,12500,2013,ford,f-250,,226031,automatic,1FT7X2B63DEA44140,,pickup,white,20464
9,34500,2012,ram,,,128153,automatic,3C6UD5PL2CG168524,,pickup,silver,41440
10,5900,1994,ford,f-250,,168838,manual,1FTHX26G5RKA90634,mid-size,pickup,white,12209
11,16500,2013,gmc,yukon,,156385,automatic,1GKS2KE78DR323366,,SUV,silver,24675
12,14500,2007,toyota,tundra,,135287,automatic,5TBBT541X7S456202,,pickup,,20514
13,27999,2015,gmc,sierra,,73612,automatic,3GTU2UEC3FG165339,,pickup,brown,35357
14,14999,2004,ram,,,235790,automatic,3D7KU28C84G124211,,pickup,blue,21417
15,24999,2014,ram,2500,,158156,automatic,3C6UR5HL7EG225433,,pickup,white,29302
16,35500,2015,gmc,sierra,,127515,automatic,1GT424E83FF156444,,pickup,black,41130
17,8999,2002,chevrolet,silverado,,179098,automatic,1GCHK29U72E207523,,pickup,white,17710
18,5999,2003,mercedes-benz,s-class,,185220,automatic,WDBNG84J53A355309,full-size,sedan,silver,10681
19,63500,2019,ford,f-350,,20930,automatic,1FT8W3BT7KEC08165,,pickup,black,72350
20,13500,2010,gmc,sierra,,231570,automatic,1GT5K0BG4AZ227621,,pickup,silver,17881
21,31895,2008,jeep,wrangler rubicon unlimited,8 cylinders,75000,automatic,1J4GA69138L631159,,,,38616
22,9500,2001,ford,excursion limited,8 cylinders,,automatic,,full-size,,grey,16676
23,57995,,,olet Silverado 2500HD,8 cylinders,9458,automatic,1GC1KSEY9KF246893,,pickup,grey,62015
24,4600,2008,honda,civic,4 cylinders,110982,automatic,2HGFA16528H503005,mid-size,sedan,grey,9386
25,32995,2014,gmc,sierra 1500,8 cylinders,93242,automatic,3GTU2WEJ5EG381007,,pickup,grey,38342
26,39995,,,ierra 1500,8 cylinders,15708,automatic,3GTU2MEC0JG379519,,pickup,black,48553
27,26950,2015,ram,3500 hd,6 cylinders,68013,automatic,,,truck,white,32535
28,39995,2016,chevrolet,silverado 1500,8 cylinders,23773,automatic,3GCUKSEC1GG370289,,pickup,black,45484
29,8300,2016,chevrolet,spark ev,,28000,automatic,,,,,16607
30,30000,1992,,American General,8 cylinders,13000,automatic,,,,,36669
31,43995,,,olet Silverado 1500,6 cylinders,7238,automatic,3GCPYBEH9KG157560,,pickup,black,48905
32,37995,2017,ram,1500,8 cylinders,21125,automatic,1C6RR7YT3HS610566,,pickup,white,42290
33,43995,,,ierra 1500,8 cylinders,9968,automatic,1GTR9CED3KZ188151,,pickup,red,51552
34,59995,,,ierra 1500,8 cylinders,9228,automatic,1GTU9FEL8KZ151650,,pickup,white,67907
35,27476,2015,lexus,rx,6 cylinders,41245,automatic,2T2BK1BA9FC340174,,SUV,,32822
36,23500,2011,cadillac,escalade esv,8 cylinders,80855,automatic,1GYS4JEF2BR168893,,SUV,,30739
37,15475,2016,dodge,grand caravan,6 cylinders,58103,automatic,2C4RDGEG8GR235353,,,,23980
38,15475,2018,hyundai,elantra,4 cylinders,11892,automatic,KMHD84LF8JU635314,,sedan,,20631
39,3995,1999,subaru,outback,4 cylinders,215349,automatic,4S3BG6859X6660102,,wagon,blue,12731
40,34900,2015,toyota,tundra,8 cylinders,42649,automatic,5TFAW5F13FX424921,,truck,,43372
41,21475,2018,honda,civic,4 cylinders,10683,automatic,JHMFC1F90JX017062,,sedan,,27328
42,14476,2017,ford,edge,4 cylinders,81130,automatic,2FMPK4G9XHBB59215,,SUV,,21357
43,23295,2013,lexus,gs,6 cylinders,63842,automatic,JTHBE1BL1D5028856,,sedan,silver,30966
44,0,2016,ford,f-350 super duty,,10,automatic,1FT8W3BTXGEC69873,,,black,0
45,0,2016,ford,focus,,10,automatic,1FADP3F2XGL361600,,,,0
46,28248,2014,ford,mustang,,8543,manual,1ZVBP8CF5E5217425,,,black,34086
47,23800,2010,,wheelchair van,,37700,automatic,,,,,28345
48,28000,2004,ford,f550 mechanics service,10 cylinders,67348,automatic,1FDAX57S84EA78390,full-size,truck,white,33873
49,15995,2014,ram,1500,8 cylinders,103252,automatic,1C6RR6GT6ES222593,,pickup,silver,23200
50,10550,2014,honda,odyssey ex,6 cylinders,79035,automatic,,,van,black,18661
51,37995,2017,gmc,sierra 1500,8 cylinders,37152,automatic,3GTU2MECXHG428543,,pickup,white,45475
52,18999,2015,mercedes-benz,cla-class,4 cylinders,37000,automatic,WDDSJ4EB3FN168594,,sedan,white,23803
53,79997,2016,mercedes-benz,amg gts,8 cylinders,28000,automatic,WDDYJ7JA5GA008007,,coupe,white,87993
54,18999,2013,bmw,3 series,6 cylinders,65000,automatic,WBAKG1C59DJ217447,,coupe,black,25010
55,44995,,,a Tundra,8 cylinders,9650,automatic,5TFDY5F10KX846095,,pickup,grey,53788
56,33950,1935,ford,2dr sedan,,0,automatic,181819073,,sedan,white,40884
57,2500,2004,ford,mustang,6 cylinders,129000,manual,,full-size,coupe,blue,9582
58,68500,2019,cadillac,escalade luxury,8 cylinders,8800,manual,1FT7W2BT9HEC25449,full-size,,,76604
59,22995,2013,ford,f-150,8 cylinders,63425,automatic,1FTFW1CF7DFA11420,,pickup,red,28466
60,28895,2016,ram,1500,8 cylinders,19086,automatic,1C6RR7GT6GS369389,,truck,red,37713
61,105500,2017,mercedes-benz,sprinter 2500 4x4,6 cylinders,35000,other,WD4FE7CD1HP550108,,van,blue,113047
62,54997,2010,mercedes-benz,g-class,8 cylinders,75000,automatic,WDCYC7BF3AX184101,,SUV,black,60377
63,29999,2012,mercedes-benz,cls-class,8 cylinders,83000,automatic,WDDLJ7EBXCA016921,,sedan,black,35810
64,14795,2008,lexus,gx,8 cylinders,164666,automatic,JTJBT20X880168597,,SUV,white,21140
65,36995,2014,ford,f-150,8 cylinders,93452,automatic,1FTFW1R62EFC34506,,pickup,black,41700
66,8950,2014,chrysler,300,6 cylinders,58677,automatic,,,sedan,grey,15947
67,16500,2006,toyota,tacoma xrunner,,,manual,,,,red,24525
68,36995,2015,gmc,sierra 2500hd,8 cylinders,67425,automatic,1GT12YEG3FF525899,,pickup,white,44464
69,24700,2010,ram,diesel cummins 3500,6 cylinders,262000,automatic,3D73Y3CL1AG111057,,truck,silver,32835
70,14900,2010,toyota,4runner,6 cylinders,78728,automatic,JTEZU5JR1A5006184,,SUV,,23788
71,34876,2011,cadillac,cts-v,8 cylinders,48289,automatic,1G6DV1EP5B0134118,,coupe,,42709
72,12495,2019,nissan,altima,4 cylinders,11092,automatic,1N4BL4BV5KC246016,mid-size,sedan,black,17684
73,32975,2016,jeep,wrangler,6 cylinders,28282,manual,1C4HJWFG6GL275260,,SUV,,38677
74,6495,2018,ford,focus,4 cylinders,24469,automatic,1FADP3F25JL303756,compact,sedan,white,11950
75,31221,2016,mercedes-benz,e-class,6 cylinders,14222,automatic,WDDHF6HB5GB168585,,sedan,,37251
76,19499,2008,jeep,wrangler,6 cylinders,60004,manual,1J4GA641X8L537030,,SUV,,26108
77,0,2014,chevrolet,cruze,4 cylinders,68908,automatic,1G1PH5SBXE7233345,,sedan,,0
78,13976,2011,toyota,tacoma,4 cylinders,93157,manual,5TFTX4CN8BX002242,,truck,,20643
79,5495,2016,mitsubishi,outlander sport,4 cylinders,55149,automatic,JA4AP3AU6GZ034124,compact,SUV,grey,11341
80,8499,2005,volkswagen,beetle,4 cylinders,43524,automatic,3VWCK31C15M413936,,hatchback,,16202
81,21999,2004,mercedes-benz,sl-class,8 cylinders,55000,automatic,WDBSK74F44F077045,,convertible,black,30128
82,37995,,,olet Silverado 1500,6 cylinders,15252,automatic,3GCUKREH2JG303910,,pickup,black,42471
83,0,2016,buick,encore,4 cylinders,36959,automatic,,,SUV,custom,0
84,7495,2017,nissan,sentra,4 cylinders,70109,automatic,3N1AB7APXHL666786,compact,sedan,white,14085
85,26950,2019,nissan,armada,8 cylinders,8871,automatic,JN8AY2NCXK9588424,,SUV,black,32003
86,6995,2010,chevrolet,traverse,6 cylinders,115266,automatic,1GNLVFED5AS118927,mid-size,SUV,black,13121
87,7995,2014,toyota,corolla,4 cylinders,69260,automatic,2T1BURHE3EC133091,compact,sedan,silver,14116
88,2250,2004,toyota,celica,4 cylinders,113248,automatic,JTDDR32T340179723,,hatchback,silver,8871
89,59995,,,ierra 1500,8 cylinders,6815,automatic,1GTU9FEL9KZ313074,,pickup,black,64773
90,2800,2006,acura,tsx,4 cylinders,104421,automatic,JH4CL96846C027844,,sedan,silver,9010
91,5495,2015,nissan,frontier,4 cylinders,75506,automatic,1N6BD0CTXFN716934,,pickup,white,10124
92,8995,2019,nissan,sentra,4 cylinders,19558,automatic,3N1AB7AP3KY264442,compact,sedan,blue,13903
93,7995,2019,mitsubishi,eclipse cross,4 cylinders,8161,automatic,JA4AT3AA5KZ037316,compact,SUV,white,12706
94,3250,2017,ford,focus,4 cylinders,31336,automatic,1FADP3H20HL277123,compact,sedan,grey,10815
95,16476,2004,chevrolet,corvette,8 cylinders,46153,automatic,1G1YY32G145131821,,convertible,,25101
96,6800,2004,nissan,350z,6 cylinders,21274,manual,JN1AZ36A64T003861,,convertible,silver,12270
97,14800,2019,chevrolet,equinox,4 cylinders,10868,automatic,2GNAXUEV3K6181852,compact,SUV,black,20723
